ID,DeviceName,Timestamp,Compass,Accelerometer_x,Accelerometer_y,Accelerometer_z,LinearAccelerometer_x,LinearAccelerometer_y,LinearAccelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z
charlie,MI 5,63664685845.385422,270.942139,-0.011342,0.011635,0.991317,0.001038,-0.014529,0.000819,-0.002731,0.002777,0.000595,12.561035,-0.340271,-42.349243
charlie,MI 5,63664685845.393509,270.942139,-0.009879,0.014074,0.991317,0.010474,0.009502,-0.015757,-0.002121,-0.000900,-0.000015,12.561035,-0.340271,-42.349243
charlie,MI 5,63664685845.389275,270.942139,-0.009879,0.014074,0.991317,0.010491,0.004665,-0.003925,-0.003952,0.002777,-0.000015,12.561035,-0.340271,-42.349243
charlie,MI 5,63664685845.399605,257.076630,-0.008903,0.014806,0.991804,0.019832,0.011924,0.000972,-0.002731,-0.000900,0.000595,11.965942,-3.170776,-43.606567
charlie,MI 5,63664685845.406029,268.728760,-0.012075,0.016512,0.989854,-0.011172,0.028437,-0.018011,-0.002731,-0.000900,0.000595,12.535095,-0.900269,-42.820740
charlie,MI 5,63664685845.408791,268.728760,-0.012075,0.016512,0.989854,0.012661,0.002195,-0.008374,-0.002731,-0.000900,0.000595,12.535095,-0.900269,-42.820740
charlie,MI 5,63664685845.414864,270.446198,-0.011342,0.016270,0.989609,-0.004000,0.026073,-0.020169,-0.003342,0.000946,-0.000626,12.088013,-0.634766,-43.307495
charlie,MI 5,63664685845.417419,270.446198,-0.011342,0.016270,0.989609,0.012648,-0.000233,-0.008138,-0.003342,0.000946,-0.000626,12.088013,-0.634766,-43.307495
charlie,MI 5,63664685845.423767,269.688507,-0.012319,0.013098,0.993268,-0.013602,-0.004970,0.015656,-0.000290,0.000320,-0.000015,12.088013,-0.634766,-43.307495
charlie,MI 5,63664685845.427734,269.688507,-0.015001,0.013829,0.994000,-0.039562,0.002168,0.022652,-0.000290,-0.000900,0.001816,11.315918,-0.796509,-44.750977
charlie,MI 5,63664685845.438423,264.867554,-0.012806,0.013098,0.992537,-0.017834,-0.004870,0.008273,0.000320,0.000320,0.001205,11.315918,-0.796509,-44.750977
charlie,MI 5,63664685845.437172,264.867554,-0.012806,0.013098,0.992537,0.001136,0.002162,-0.006015,0.000320,0.000320,0.001205,11.315918,-0.796509,-44.750977
charlie,MI 5,63664685845.443008,266.258453,-0.010855,0.013098,0.992293,0.001362,-0.004760,0.005829,-0.002121,0.000320,0.000595,12.960815,-1.718140,-43.914795
charlie,MI 5,63664685845.447716,266.258453,-0.011831,0.013342,0.993512,-0.008040,-0.002249,0.017644,-0.002121,0.002167,0.003036,12.982178,-1.419067,-45.979309
charlie,MI 5,63664685845.451134,266.258453,-0.011831,0.013342,0.993512,0.006337,-0.006856,-0.008606,-0.002121,0.002167,0.003036,12.982178,-1.419067,-45.979309
charlie,MI 5,63664685845.458420,261.011993,-0.009636,0.013587,0.992048,0.013468,0.000397,0.003329,-0.001511,0.001556,-0.000015,13.684082,-2.673340,-43.891907
charlie,MI 5,63664685845.460083,261.011993,-0.009636,0.013587,0.992048,0.022816,-0.018583,-0.013314,-0.001511,0.001556,-0.000015,13.684082,-2.673340,-43.891907
charlie,MI 5,63664685845.465782,264.849030,-0.011098,0.013098,0.994000,-0.001086,-0.004120,0.022401,-0.000290,-0.000900,0.000595,12.037659,-1.629639,-42.349243
charlie,MI 5,63664685845.470551,264.849030,-0.011831,0.013098,0.993024,-0.008133,-0.004129,0.012712,-0.001511,0.000320,0.000595,12.037659,-1.629639,-42.349243
charlie,MI 5,63664685845.474983,265.313232,-0.010367,0.013098,0.993512,0.006216,-0.004167,0.017360,0.000931,0.001556,0.000595,12.812805,-1.586914,-43.601990
charlie,MI 5,63664685845.480003,265.313232,-0.011342,0.015050,0.992537,-0.003167,0.014814,0.007730,0.001556,0.000946,0.001816,12.812805,-1.586914,-43.601990
charlie,MI 5,63664685845.484688,264.463623,-0.011831,0.013829,0.993756,-0.007848,0.002770,0.019529,0.000931,0.003387,0.000595,13.417053,-1.838684,-44.062805
charlie,MI 5,63664685845.489052,264.463623,-0.011831,0.013829,0.993756,-0.014824,0.007567,0.012239,0.000931,0.000946,-0.000626,13.417053,-1.838684,-44.062805
charlie,MI 5,63664685845.493797,264.559601,-0.012075,0.013342,0.994487,-0.010007,-0.001915,0.026376,-0.001511,0.001556,0.002426,12.646484,-1.745605,-42.176819
charlie,MI 5,63664685845.499107,264.559601,-0.012075,0.013342,0.991317,-0.010021,-0.001802,-0.004685,-0.001511,-0.000900,0.001816,12.646484,-1.745605,-42.176819
